Time,Temperature,Pressure,Altitude,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,GyroX,GyroY,GyroZ,GPSFix,GPSLat,GPSLong
0.051288128,23.6875,988.18,285.8168612,-9.885348366,-0.448056032,1.180857953,-0.43638,0.32914,0.1561,0.066126162,-0.005345071,-0.013591752,TRUE,34.059391,-117.821418
1.461696148,23.6875,988.1675,286.2543679,-10.41894781,-0.840478938,0.106480606,-0.44142,0.32886,0.154,0.261755755,-0.011911872,-0.13988814,TRUE,34.059391,-117.821421
2.804336071,23.8125,988.1475,286.3793698,-9.210572393,0.589830771,-0.054436714,-0.43078,0.29946,0.20748,0.109344878,-0.129045282,0.05009095,TRUE,34.059391,-117.821421
4.226605177,23.9375,988.1525,286.5668727,-9.529416005,-1.21017003,-6.702296103,-0.23478,0.30982,0.38024,-0.021685716,-1.437365905,-0.228769032,TRUE,34.059395,-117.821425
5.659653187,24.0625,988.1225,286.3793698,-7.858627624,-0.910468999,-1.177866925,-0.33866,0.32886,0.30954,0.267864407,1.32832646,0.016798794,TRUE,34.059395,-117.821426
7.079653263,24.1875,988.13,286.1918669,-9.005986061,-0.911665411,2.502294234,-0.45794,0.30198,0.12558,0.231670642,-0.957683977,0.082924956,TRUE,34.059396,-117.821428
8.507032156,24.25,988.1275,286.5668727,-8.725427611,6.266802389,-1.336989628,-0.41622,0.06174,0.2443,-0.289397407,-0.182801423,-0.573755175,TRUE,34.059398,-117.82143
9.937513113,24.4375,988.1525,286.3168688,-10.89212848,-1.1964113,-0.528215589,-0.40698,0.3115,0.22218,0.181732408,0.108886729,-0.192269834,TRUE,34.059396,-117.82143
11.36066103,24.5625,988.12,286.2543679,-9.731011309,-0.244067905,0.506680186,-0.43302,0.28238,0.2079,0.06826419,0.005650503,-0.058184914,TRUE,34.059395,-117.821428
12.78343606,24.625,988.1625,286.3168688,-7.140182638,6.489334891,-0.223728913,-0.4221,0.03206,0.2212,0.031612276,-0.072082098,-0.349567633,TRUE,34.059396,-117.821426
14.20759821,24.875,988.1175,286.3793698,-7.299903547,-6.527620053,0.109471634,-0.2765,0.48314,0.19782,0.038179077,-0.150730998,1.26998883,TRUE,34.059398,-117.821425
15.62592816,24.875,988.1025,286.6918746,-10.21017403,0.920638495,0.58444692,-0.43722,0.23058,0.19908,0.12950343,0.070402219,0.311083123,TRUE,34.059398,-117.821423
